{'Accuracy': 0.7433229275060701, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:None', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7460978147762747, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:45', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7506070065903573, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:50', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7502601456815817, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:60', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.749913284772806, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:35', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7523413111342352, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:40', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.751647589316684, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:45', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7554630593132154, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:35', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7537287547693375, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:40', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7537287547693375, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:60', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.75823794658342, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:30', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7585848074921956, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:30', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7571973638570934, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:40', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7551161984044398, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:40', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7506070065903573, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:None', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7596253902185224, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:40', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7551161984044398, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:45', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7578910856746445, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:50', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7554630593132154, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:35', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7513007284079084, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:35', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7575442247658689, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:45', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7540756156781131, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:60', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7571973638570934, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:60', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7544224765868887, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:60', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7547693374956642, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:50', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.755809920221991, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:None', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7561567811307666, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:50', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7561567811307666, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:35', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7526881720430108, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:50', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7544224765868887, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:30', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7554630593132154, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:45', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7502601456815817, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:40', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7554630593132154, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:50', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7523413111342352, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:45', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7613596947624003, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:40', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7571973638570934, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:25', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7585848074921956, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:45', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.44597249508840864, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:5', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.527177472167649, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:5', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.5337262606417813, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:5', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.5690897184020957, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:5', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.5867714472822528, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:5', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
