{'Accuracy': 0.6286836935166994, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:10 fetaure len = 32', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.6240995415848068, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:10 fetaure len = 33', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.633267845448592, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:None fetaure len = 34', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.627373935821873, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:20 fetaure len = 35', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.6299934512115258, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:None fetaure len = 36', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.6293385723641126, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:15 fetaure len = 37', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.6339227242960053, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:15 fetaure len = 38', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.6299934512115258, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:10 fetaure len = 39', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.6313032089063523, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:None fetaure len = 40', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.6319580877537656, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:20 fetaure len = 41', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.6293385723641126, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:15 fetaure len = 42', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.6293385723641126, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:25 fetaure len = 43', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.6280288146692862, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:20 fetaure len = 44', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.6365422396856582, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:15 fetaure len = 45', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.6345776031434185, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:30 fetaure len = 46', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.6378519973804846, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:25 fetaure len = 47', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.6339227242960053, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:20 fetaure len = 48', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.6365422396856582, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:30 fetaure len = 49', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.6326129666011788, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:15 fetaure len = 50', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.6371971185330714, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:25 fetaure len = 51', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.6378519973804846, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:None fetaure len = 52', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.6247544204322201, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:None fetaure len = 53', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.6371971185330714, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:25 fetaure len = 54', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.6313032089063523, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:15 fetaure len = 55', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.6385068762278978, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:25 fetaure len = 56', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.6371971185330714, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:30 fetaure len = 57', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.6319580877537656, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:20 fetaure len = 58', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.6358873608382449, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:None fetaure len = 59', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.6365422396856582, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:20 fetaure len = 60', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.6371971185330714, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:25 fetaure len = 61', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.639161755075311, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:30 fetaure len = 62', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.6385068762278978, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:25 fetaure len = 63', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.6345776031434185, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:20 fetaure len = 64', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.6371971185330714, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:30 fetaure len = 65', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.6365422396856582, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:20 fetaure len = 66', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.6371971185330714, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:25 fetaure len = 67', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.6319580877537656, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:25 fetaure len = 68', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.6404715127701375, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:15 fetaure len = 69', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.6313032089063523, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:20 fetaure len = 70', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.6339227242960053, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:35 fetaure len = 71', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.6358873608382449, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:None fetaure len = 72', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.6286836935166994, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:30 fetaure len = 73', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.6358873608382449, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:25 fetaure len = 74', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
