{'Accuracy': 0.7065556711758585, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:34', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7079431148109608, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:35', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7103711411723899, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:36', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7089836975372875, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:37', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7079431148109608, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:38', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7062088102670829, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:39', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.706902532084634, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:40', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7055150884495317, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:41', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7058619493583074, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:42', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7034339229968782, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:43', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7079431148109608, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:44', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7075962539021852, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:45', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7051682275407561, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:46', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7072493929934096, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:47', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.706902532084634, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:48', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7072493929934096, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:49', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.704474505723205, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:50', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7027402011793271, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:51', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7051682275407561, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:52', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7010058966354492, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:53', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7048213666319806, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:54', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7037807839056538, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:55', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7065556711758585, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:56', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7072493929934096, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:57', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6999653139091224, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:58', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7051682275407561, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:59', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
