{'Accuracy': 0.6195153896529142, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6083824492468893, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6110019646365422, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6195153896529142, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6195153896529142, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6123117223313687, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6182056319580878, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6168958742632613, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6149312377210217, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6162409954158481, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6168958742632613, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6293385723641126, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6260641781270465, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6227897838899804, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6136214800261951, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6227897838899804, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6110019646365422, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6149312377210217, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6155861165684349, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6175507531106745, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6208251473477406, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6155861165684349, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6037982973149967, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6227897838899804, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6227897838899804, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6214800261951539, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
